Primary Sources:,"NASA Small Spacecraft State of the Art (SoA) Report 2023, SatSearch Marketplace, CubeSatShop, Vendor Datasheets, ResearchGate, ESA Presentations, Manufacturer Technical Manuals, NIST NVD",,,,,,,,,,,,,,,,,,,,
Component_ID,Data_Source,Notes,,,,,,,,,,,,,,,,,,,
ADCS-001,"Terma T1 Star Tracker Datasheet, IEEE Access Star Tracker Cost Survey (Table 1), SatNow T1 Listing","Architecture confirmed via Datasheet. Cost proxy ($30,000) based on SatNow and academic survey of TRL-9 star trackers.",,,,,,,,,,,,,,,,,,,
ADCS-002,"CubeSpace Auriga Datasheet, Sodern Auriga CP Datasheet, NASA SoA 2023 (Chapter 5), Satsearch Auriga Listing","Architecture inferred as ARM Cortex-M7 via datasheet and vendor specs. Cost proxy ($18,000) based on CubeSatShop and NASA SoA price ranges.",,,,,,,,,,,,,,,,,,,
ADCS-003,"Blue Canyon Technologies XACT-15 Datasheet, SatNow XACT-15 Overview, NASA SoA 2023 (Chapter 5)","Architecture confirmed as LEON3-FT based on NASA SoA 2023 and vendor documentation describing rad-hard processing core. Cost proxy ($135,000) based on SatNow and SatCatalog listings for XACT-15.",,,,,,,,,,,,,,,,,,,
OBC-001,"AAC Clyde Kryten M3 Datasheet, SatCatalog Kryten M3 Overview, NASA SoA 2023 (Chapter 3)","Architecture confirmed as ARM Cortex-M0+ via datasheet. Cost proxy ($12,000) based on SatCatalog and NASA SoA CubeSat OBC pricing.",,,,,,,,,,,,,,,,,,,
OBC-002,"GomSpace NanoMind A3200 Datasheet, NanoMind A3200 Technical Manual, CubeSatShop Listing","Architecture confirmed as AVR32 (UC3) via GomSpace documentation. Cost proxy ($8,000) based on CubeSatShop and SatCatalog.",,,,,,,,,,,,,,,,,,,
OBC-003,"Vorago VA10820 Datasheet, Vorago Product Overview, SatNow VA10820 Listing","Architecture confirmed as ARM Cortex-M0 (HARDSIL) via datasheet. Cost proxy ($25,000) based on Vorago rad-hard MCU pricing and SatNow listings.",,,,,,,,,,,,,,,,,,,
COM-001,"AstroDev Lithium-2 Datasheet, NASA EDSN Mission Report, Stanford SSI Wiki","Architecture inferred as ARM Cortex-M3 based on AX.25 protocol implementation and NASA EDSN documentation. Cost proxy ($6,500) based on Stanford SSI and historical mission data.",,,,,,,,,,,,,,,,,,,
COM-002,"EnduroSat S-Band Transmitter Datasheet, Satsearch EnduroSat Listing, SatNow S-Band Transmitter Overview","Architecture inferred as ARM Cortex-M4 based on interface specs and vendor’s use of COTS microcontrollers. Cost proxy ($15,600) based on Satsearch and SatNow vendor listings.",,,,,,,,,,,,,,,,,,,
